url,domain,time_delta_q1,time_delta_median,time_delta_q3,time_delta_max,time_delta_mean,time_delta_std,pkt_len_median,pkt_len_q3,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_count
https://www.yahoo.com/entertainment/7-best-watches-week-pharrell-140000095.html,yahoo.com,6e-06,4.1e-05,0.000568,0.406745,0.00215005332588038,0.011292040471052018,39.0,1428.0,15936.0,1168.6009837531674,2192.0985700547203,26836
https://www.yahoo.com/entertainment/articles/lou-christie-singer-songwriter-hit-174910305.html,yahoo.com,9e-06,5.9e-05,0.0007775,0.07994,0.0009752802761709274,0.003477732430152508,24.0,311.0,10624.0,436.1733208955224,955.9352430151228,5360
https://www.yahoo.com/entertainment/celebrity/articles/love-blind-jordan-breaks-down-192727136.html,yahoo.com,1e-05,5.55e-05,0.000911,0.380078,0.0017938488213187565,0.009659511861098615,24.0,287.0,10624.0,474.6442356959863,970.7327308987909,5855
https://www.yahoo.com/entertainment/celebrity/articles/megan-thee-stallion-makes-tiniest-123500798.html,yahoo.com,2e-06,6.2e-05,0.000962,0.457608,0.0029411926563539586,0.013073229851702882,38.0,818.0,10624.0,562.4552788057715,949.8442452104259,24049
https://www.yahoo.com/entertainment/celebrity/articles/meghan-markle-public-actions-considered-091203974.html,yahoo.com,7e-06,3.4e-05,0.0006212500000000001,0.087989,0.0010073438673341678,0.003788788129088162,24.0,1091.0,10624.0,783.3015798529642,1665.1694884622739,6393
https://www.yahoo.com/entertainment/eliminated-act-most-robbed-agt-031520557.html,yahoo.com,3.2500000000000002e-06,5.05e-05,0.00081,0.176453,0.0010767833074131674,0.004280056166863653,31.0,470.0,10624.0,493.8960601347849,994.4147075849025,3859
https://www.yahoo.com/entertainment/emmy-awards-winners-2024-complete-020458228.html,yahoo.com,2.6e-05,0.000383,0.002116,0.385933,0.003743395115082063,0.011160360911121398,0.0,476.0,9212.0,404.15348385530467,726.2503832712173,20595
https://www.yahoo.com/entertainment/gisele-b-ndchen-shares-powerful-231553183.html,yahoo.com,2e-06,3.5e-05,0.000508,0.818096,0.0023497739258842554,0.01985396364673684,39.0,1328.0,21248.0,831.1374630853608,1578.9974994648342,14222
https://www.yahoo.com/entertainment/leap-media-adds-travel-detective-114608130.html,yahoo.com,8e-06,5.5e-05,0.0007605,0.095235,0.0008934057336253235,0.002912984212542848,24.0,384.25,10624.0,464.4966162420382,896.6669169833567,5024
https://www.yahoo.com/entertainment/liam-payne-embroiled-bitter-legal-231345205.html,yahoo.com,2e-06,4.5e-05,0.000695,0.09825,0.0008834788484136311,0.0029704735415355733,24.0,377.0,13280.0,501.0436655570785,1001.7912778848945,5107
https://www.yahoo.com/entertainment/matthew-mcconaughey-letting-hair-down-151030670.html,yahoo.com,5e-06,5.4e-05,0.0007815000000000001,0.09297,0.0011664430806996012,0.004092261397599558,24.0,303.0,10624.0,508.1153374233129,1151.5298748466537,3260
https://www.yahoo.com/entertainment/music/articles/chappell-roan-cardi-b-ejae-011857362.html,yahoo.com,2e-06,5.8e-05,0.000707,0.424547,0.0024177339120848833,0.014615930718653875,39.0,1322.0,10624.0,600.4740975475338,1003.4924735637793,7258
https://www.yahoo.com/entertainment/music/articles/first-lovin-life-boomed-then-100100794.html,yahoo.com,2e-06,4e-05,0.0006935,0.107042,0.0009053892427459306,0.003256876558145114,31.0,624.0,10624.0,579.3915094339623,1124.9359892768825,4240
https://www.yahoo.com/entertainment/report-cash-wheeler-facing-criminal-004313651.html,yahoo.com,1e-05,7.7e-05,0.001216,0.16931,0.0017065522480620157,0.0053974116501263845,18.0,220.0,10624.0,441.8230006199628,1059.0875282701966,3226
https://www.yahoo.com/entertainment/see-whose-style-crowned-mvp-130000203.html,yahoo.com,6e-06,2.8e-05,0.000476,0.036936,0.0005624673830594185,0.001789506375663478,31.0,1328.0,15936.0,1093.1064340791304,2131.8633369736795,7911
